Name,Region,Address,Latitude,Longitude,Phone Number,Verified,Street,Unit,Region2,Province (abbv.),Postal Code,Province,First 3 digits of Postal Code,Region_new,Count
Guillevin International,St. Thomas,"126 Edward Street - Unit 2, St. Thomas, ON, N5P 1Z1",42.7863771,-81.1701418,519 633-8446,,126 Edward Street - Unit 2,St. Thomas,ON,,N5P 1Z1,Ontario,N5P,Southwest,2
City Electric Supply,London ,"287 Adelaide Street, London, ON, N5Z 3K8",42.9609231,-81.2187713,519 680-2711,,287 Adelaide Street,London,ON,,N5Z 3K8,Ontario,N5Z,Southwest,2
Westburne/Rockwell,London - Rockwell Distributor,"600 Little Simcoe Street, London, ON, N5Z 1P4",42.9833098,-81.2277443,519-434-5755,,600 Little Simcoe Street,London,ON,,N5Z 1P4,Ontario,N5Z,Southwest,2
Guillevin International,London,"229 Adelaide Street N, London, ON, N6B 3H3",42.9835309,-81.2296041,519 673-1800,,229 Adelaide Street N,London,ON,,N6B 3H3,Ontario,N6B,Southwest,2
Guillevin International,London,"229-A Adelaide Street N London, ON, N6B 3H3",42.9835,-81.2296,519 673-1596,x,229-A Adelaide Street N London,ON,,,N6B 3H3,Ontario,N6B,Southwest,2
Guillevin International,London,"1010 Adelaide Street S, London, ON, N6E 1R6",42.9333356,-81.2073228,519 673-1800,,1010 Adelaide Street S,London,ON,,N6E 1R6,Ontario,N6E,Southwest,2
Guillevin International,London,"1010 Adelaide Street S, London, ON, N6E 1R4",42.9333356,-81.2073228,519 673-1596,,1010 Adelaide Street S,London,ON,,N6E 1R4,Ontario,N6E,Southwest,2
Westburne/Rockwell,Strathroy-Rockwell Distributor,"309 High Street East, Strathroy, ON, N7G 3Z4",42.9604293,-81.6093727,519-245-2300,,309 High Street East,Strathroy,ON,,N7G 3Z4,Ontario,N7G,Southwest,1
City Electric Supply,Sarnia,"1289 Confederation St, Unit 2, Sarnia, ON, N7S 4M7",42.9599647,-82.3598629,519 337-4799 ,,1289 Confederation St,Unit 2,Sarnia,ON,N7S 4M7,Ontario,N7S,Southwest,2
Westburne/Rockwell,Sarnia,"1231 Confederation Street, Sarnia, ON, N7S 4M7",42.9596916,-82.3642599,519-336-0015,,1231 Confederation Street,Sarnia,ON,,N7S 4M7,Ontario,N7S,Southwest,2
Guillevin International,Sarnia,"873, Phillip Street East - Unit #1, Sarnia, ON, N7T 1Z6",42.961417,-82.3791559,519 332-2025,,873,Phillip Street East - Unit #1,Sarnia,ON,N7T 1Z6,Ontario,N7T,Southwest,1
Nedco,North Bay,"755 Wallace Rd., North Bay, ON, P1A 0E7",46.3140927,-79.4246126,705-474-3120,,755 Wallace Rd.,,North Bay,ON,P1A 0E7,Ontario,P1A,Northern,2
Westburne/Rockwell,North Bay-Rockwell Distributor,"825 Wallace Road, North Bay, ON, P1A 0E7",46.3129888,-79.4244351,705-472-0590,,825 Wallace Road,North Bay,ON,,P1A 0E7,Ontario,P1A,Northern,2
City Electric Supply,Huntsville,"182 Main Street West, Huntsville, ON, P1H 1X8",45.3187582,-79.2384242,705 788-0866,,182 Main Street West,,Huntsville,ON,P1H 1X8,Ontario,P1H,Northern,1
Nedco,Bracebridge,"440 Eccleston Dr., Units 15 & 16, Bracebridge, ON, P1L 1Z6",45.0180609,-79.3143598,705-645-7200,,440 Eccleston Dr.,Units 15 & 16,Bracebridge,ON,P1L 1Z6,Ontario,P1L,Northern,2
Westburne/Rockwell,Bracebridge - Rockwell Distri.,"440 Ecclestone Drive Unit # 2, Bracebridge, ON, P1L 1Z6",45.0177139,-79.3148192,705-645-8288,,440 Ecclestone Drive Unit # 2,Bracebridge,ON,,P1L 1Z6,Ontario,P1L,Northern,2
Westburne/Rockwell,Parry Sound - Rockwell Distri.,"32 Joseph St, Parry Sound, ON, P2A 2G3",45.3568788,-80.0391246,705-746-1140,,32 Joseph St,Parry Sound,ON,,P2A 2G3,Ontario,P2A,Northern,1
Nedco,Kirkland Lake,"11 George St., Kirkland Lake, ON, P2N 3G7",48.1437827,-80.0435597,705-567-2375,,11 George St.,,Kirkland Lake,ON,P2N 3G7,Ontario,P2N,Northern,2
Guillevin International,Kirkland Lake,"21 Government Road E, Kirkland Lake, ON, P2N 1A1",48.1529584,-80.0313311,705 567-3251,,21 Government Road E,Kirkland Lake,ON,,P2N 1A1,Ontario,P2N,Northern,2
Nedco,Sudbury,"1785 Frobisher Street, Unit 2, Sudbury, ON, P3A 6C8",46.5071703,-80.9338182,705-560-2800,,1785 Frobisher Street,Unit 2,Sudbury,ON,P3A 6C8,Ontario,P3A,Northern,2
Westburne/Rockwell,Sudbury - Rockwell Distributor,"878 Falconbridge Road, Sudbury, ON, P3A 4S4",46.5159084,-80.9237029,705-560-2111,,878 Falconbridge Road,Sudbury,ON,,P3A 4S4,Ontario,P3A,Northern,2
Guillevin International,Sudbury,"122 Dell Street Bldg. B-1, Sudbury, ON, P3C 2Y1",46.5069706,-80.9913671,705 675-8815,,122 Dell Street Bldg. B-1,Sudbury,ON,,P3C 2Y1,Ontario,P3C,Northern,1
Nedco,Timmins,"870 Algonquin Blvd., Timmins, Ontario, P4N 1B7",48.47688,-81.314959,705-264-4293,,870 Algonquin Blvd.,,Timmins,ON,P4N 1B7,Ontario,P4N,Northern,2
Westburne/Rockwell,Timmins - Rockwell Distributor,"800 Birch Street South, P.O. Box 902, Timmins, ON, P4N 7H1",48.4596014,-81.3321561,705-267-1436,,800 Birch Street South,P.O. Box 902,Timmins,ON,P4N 7H1,Ontario,P4N,Northern,2
Nedco,Sault Ste. Marie,"80 White Oak Dr. E, Sault Ste. Marie, ON, P6B 4J8",46.537649,-84.3317673,705-949-7025,,80 White Oak Dr. E,,Sault Ste. Marie,ON,P6B 4J8,Ontario,P6B,Northern,3
Westburne/Rockwell,Sault Ste.Marie-Rockwell Dist.,"64 White Oak Drive, Sault Ste. Marie, ON, P6B 4J8",46.5376503,-84.332532,705-949-5994,,64 White Oak Drive,Sault Ste. Marie,ON,,P6B 4J8,Ontario,P6B,Northern,3
Guillevin International,Sault Ste. Marie,"81 White Oak Drive E, Sault Ste. Marie, ON, P6B 4J7",46.5368854,-84.3317513,705 254-6461,,81 White Oak Drive E,Sault Ste. Marie,ON,,P6B 4J7,Ontario,P6B,Northern,3
Westburne/Rockwell,Thunder Bay,"1231 Amber Drive, Thunder Bay, ON, P7B 6M4",48.409682,-89.2626628,807-344-3100,,1231 Amber Drive,Thunder Bay,ON,,P7B 6M4,Ontario,P7B,Northern,3
Sonepar/Sesco/Gescan,Gescan - Thunder Bay,"565 Dunlop Street Thunder Bay, ON, P7B 6S1",48.4037392,-89.248207,807-623-8404,,565 Dunlop Street Thunder Bay,ON,,,P7B 6S1,Ontario,P7B,Northern,3
Guillevin International,Thunder Bay,"883 Tungsten St. Unit 5, Thunder Bay, ON, P7B 6H2",48.4135722,-89.2537371,807 345-7789,,883 Tungsten St. Unit 5,Thunder Bay,ON,,P7B 6H2,Ontario,P7B,Northern,3
Guillevin International,Fort Frances,"924 Fifth Street West, Fort Frances, ON, P9A 3C7",48.6150876,-93.4244945,807 274-3243,,924 Fifth Street West,Fort Frances,ON,,P9A 3C7,Ontario,P9A,Northern,1
Westburne/Rockwell,Kenora,"Unit 4 - 1 Dennis Place, PO Box 511, Kenora, ON, P9N 3X5",49.788383,-94.4900044,807-548-4266,,Unit 4 - 1 Dennis Place,PO Box 511,Kenora,ON,P9N 3X5,Ontario,P9N,Northern,1
